IDs,Organism,Position_F,Identity_F,Position_R,Identity_R,Position_Probe,Identity_Probe
,NA,NA,NA,441694<-441714,100%,246864<-246885,95%
,NA,NA,NA,NA,NA,441649<-441670,100%
NZ_CP010549.1,"Mycoplasmoides pneumoniae M2592 chromosome, complete genome",165992->166016,100%,166096<-166116,100%,130397<-130418,95%
,NA,179532->179556,100%,179636<-179656,100%,166051<-166072,100%
,NA,441610->441634,100%,246905<-246925,100%,179591<-179612,100%
,NA,NA,NA,441714<-441734,100%,246860<-246881,95%
,NA,NA,NA,NA,NA,441669<-441690,100%
CP178953.1,"Mycoplasmoides pneumoniae strain 87447.fasta chromosome, complete genome",243445->243469,100%,243549<-243569,100%,207933<-207954,95%
,NA,258525->258549,100%,258629<-258649,100%,243504<-243525,100%
,NA,520668->520692,100%,326065<-326085,100%,258584<-258605,100%
,NA,NA,NA,520772<-520792,100%,326020<-326041,95%
,NA,NA,NA,NA,NA,520727<-520748,100%
CM152647.1,"Mycoplasmoides pneumoniae strain TWMP983_2025 isolate MP983_2025 chromosome, complete sequence, whole genome shotgun sequence",165970->165994,100%,166075<-166095,100%,130457<-130478,95%
,NA,181053->181077,100%,181158<-181178,100%,166030<-166051,100%
,NA,443246->443270,100%,248597<-248617,100%,181113<-181134,100%
,NA,NA,NA,443350<-443370,100%,248552<-248573,95%
,NA,NA,NA,NA,NA,443305<-443326,100%
CP179073.1,"Mycoplasmoides pneumoniae strain 88642.fasta chromosome, complete genome",243444->243468,100%,243548<-243568,100%,207932<-207953,95%
,NA,258524->258548,100%,258628<-258648,100%,243503<-243524,100%
,NA,520663->520687,100%,326060<-326080,100%,258583<-258604,100%
,NA,NA,NA,520767<-520787,100%,326015<-326036,95%
,NA,NA,NA,NA,NA,520722<-520743,100%
CP179083.1,"Mycoplasmoides pneumoniae strain 88900.fasta chromosome, complete genome",166005->166029,100%,166109<-166129,100%,130432<-130453,95%
,NA,179545->179569,100%,179649<-179669,100%,166064<-166085,100%
,NA,441493->441517,100%,246910<-246930,100%,179604<-179625,100%
,NA,NA,NA,441597<-441617,100%,246865<-246886,95%
,NA,NA,NA,NA,NA,441552<-441573,100%
CP003913.2,"Mycoplasma pneumoniae M129-B7, complete genome",165947->165971,100%,166051<-166071,100%,130431<-130452,95%
,NA,181027->181051,100%,181131<-181151,100%,166006<-166027,100%
,NA,443340->443364,100%,248560<-248580,100%,181086<-181107,100%
,NA,NA,NA,443444<-443464,100%,248515<-248536,95%
,NA,NA,NA,NA,NA,443399<-443420,100%
CP179154.1,"Mycoplasmoides pneumoniae strain 89845.fasta chromosome, complete genome",165924->165948,100%,166028<-166048,100%,130416<-130437,95%
,NA,181004->181028,100%,181108<-181128,100%,165983<-166004,100%
,NA,443400->443424,100%,248532<-248552,100%,181063<-181084,100%
,NA,NA,NA,443504<-443524,100%,248487<-248508,95%
,NA,NA,NA,NA,NA,443459<-443480,100%
CP179087.1,"Mycoplasmoides pneumoniae strain 89174.fasta chromosome, complete genome",165929->165953,100%,166033<-166053,100%,130417<-130438,95%
,NA,181009->181033,100%,181113<-181133,100%,165988<-166009,100%
,NA,443237->443261,100%,248562<-248582,100%,181068<-181089,100%
,NA,NA,NA,443341<-443361,100%,248517<-248538,95%
,NA,NA,NA,NA,NA,443296<-443317,100%
CP178978.1,"Mycoplasmoides pneumoniae strain 87679.fasta chromosome, complete genome",165925->165949,100%,166029<-166049,100%,130417<-130438,95%
,NA,181005->181029,100%,181109<-181129,100%,165984<-166005,100%
,NA,443403->443427,100%,248536<-248556,100%,181064<-181085,100%
,NA,NA,NA,443507<-443527,100%,248491<-248512,95%
,NA,NA,NA,NA,NA,443462<-443483,100%
CP179150.1,"Mycoplasmoides pneumoniae strain 89832.fasta chromosome, complete genome",165944->165968,100%,166048<-166068,100%,130434<-130455,95%
,NA,181024->181048,100%,181128<-181148,100%,166003<-166024,100%
,NA,443344->443368,100%,248561<-248581,100%,181083<-181104,100%
,NA,NA,NA,443448<-443468,100%,248516<-248537,95%
,NA,NA,NA,NA,NA,443403<-443424,100%
NZ_CP169364.1,"Mycoplasmoides pneumoniae strain RU-CSP-A chromosome, complete genome",371802->371826,100%,371906<-371926,100%,336290<-336311,95%
,NA,386883->386907,100%,386987<-387007,100%,371861<-371882,100%
,NA,649084->649108,100%,454421<-454441,100%,386942<-386963,100%
,NA,NA,NA,649188<-649208,100%,454376<-454397,95%
,NA,NA,NA,NA,NA,649143<-649164,100%
CP178988.1,"Mycoplasmoides pneumoniae strain 87811.fasta chromosome, complete genome",243450->243474,100%,243554<-243574,100%,207932<-207953,95%
,NA,258530->258554,100%,258634<-258654,100%,243509<-243530,100%
,NA,520670->520694,100%,326067<-326087,100%,258589<-258610,100%
,NA,NA,NA,520774<-520794,100%,326022<-326043,95%
,NA,NA,NA,NA,NA,520729<-520750,100%
CP179158.1,"Mycoplasmoides pneumoniae strain 89896.fasta chromosome, complete genome",165926->165950,100%,166030<-166050,100%,130416<-130437,95%
,NA,181006->181030,100%,181110<-181130,100%,165985<-166006,100%
,NA,443221->443245,100%,248558<-248578,100%,181065<-181086,100%
,NA,NA,NA,443325<-443345,100%,248513<-248534,95%
,NA,NA,NA,NA,NA,443280<-443301,100%
CP178970.1,"Mycoplasmoides pneumoniae strain 87667.fasta chromosome, complete genome",243431->243455,100%,243535<-243555,100%,207921<-207942,95%
,NA,258511->258535,100%,258615<-258635,100%,243490<-243511,100%
,NA,520657->520681,100%,326055<-326075,100%,258570<-258591,100%
,NA,NA,NA,520761<-520781,100%,326010<-326031,95%
,NA,NA,NA,NA,NA,520716<-520737,100%
CP039786.1,"Mycoplasmoides pneumoniae strain 10-1213 chromosome, complete genome",165912->165936,100%,166016<-166036,100%,130402<-130423,95%
,NA,180992->181016,100%,181096<-181116,100%,165971<-165992,100%
,NA,443310->443334,100%,248539<-248559,100%,181051<-181072,100%
,NA,NA,NA,443414<-443434,100%,248494<-248515,95%
,NA,NA,NA,NA,NA,443369<-443390,100%
CP039776.1,"Mycoplasmoides pneumoniae strain 11-994 chromosome, complete genome",165945->165969,100%,166049<-166069,100%,130423<-130444,95%
,NA,181031->181055,100%,181135<-181155,100%,166004<-166025,100%
,NA,443147->443171,100%,248568<-248588,100%,181090<-181111,100%
,NA,NA,NA,443251<-443271,100%,248523<-248544,95%
,NA,NA,NA,NA,NA,443206<-443227,100%
NZ_CP020710.1,"Mycoplasmoides pneumoniae strain S34-tet-R chromosome, complete genome",165953->165977,100%,166057<-166077,100%,130430<-130451,95%
,NA,181033->181057,100%,181137<-181157,100%,166012<-166033,100%
,NA,443323->443347,100%,248569<-248589,100%,181092<-181113,100%
,NA,NA,NA,443427<-443447,100%,248524<-248545,95%
,NA,NA,NA,NA,NA,443382<-443403,100%
CP178984.1,"Mycoplasmoides pneumoniae strain 87761.fasta chromosome, complete genome",243432->243456,100%,243536<-243556,100%,207922<-207943,95%
,NA,258512->258536,100%,258616<-258636,100%,243491<-243512,100%
,NA,520654->520678,100%,326051<-326071,100%,258571<-258592,100%
,NA,NA,NA,520758<-520778,100%,326006<-326027,95%
,NA,NA,NA,NA,NA,520713<-520734,100%
CP039772.1,"Mycoplasmoides pneumoniae strain 14-637 chromosome, complete genome",165950->165974,100%,166054<-166074,100%,130385<-130406,95%
,NA,179490->179514,100%,179594<-179614,100%,166009<-166030,100%
,NA,441538->441562,100%,246855<-246875,100%,179549<-179570,100%
,NA,NA,NA,441642<-441662,100%,246810<-246831,95%
,NA,NA,NA,NA,NA,441597<-441618,100%
CP010550.1,"Mycoplasma pneumoniae MAC strain Mac, complete genome",165986->166010,100%,166090<-166110,100%,130419<-130440,95%
,NA,179526->179550,100%,179630<-179650,100%,166045<-166066,100%
,NA,441551->441575,100%,246898<-246918,100%,179585<-179606,100%
,NA,NA,NA,441655<-441675,100%,246853<-246874,95%
,NA,NA,NA,NA,NA,441610<-441631,100%
CP039782.1,"Mycoplasmoides pneumoniae strain 11-129 chromosome, complete genome",165940->165964,100%,166044<-166064,100%,130418<-130439,95%
,NA,181020->181044,100%,181124<-181144,100%,165999<-166020,100%
,NA,443265->443289,100%,248512<-248532,100%,181079<-181100,100%
,NA,NA,NA,443369<-443389,100%,248467<-248488,95%
,NA,NA,NA,NA,NA,443324<-443345,100%
